Sample,Taxon,Population,Country,Specific.Locality,Sample.Number,Latitude,Longitude,Genbank,Citation,loc_3_1,loc_3_2,loc_12_1,loc_12_2,loc_26_1,loc_26_2,loc_27_1,loc_27_2,loc_34_1,loc_34_2,loc_43_1,loc_43_2,loc_55_1,loc_55_2,loc_56_1,loc_56_2,loc_66_1,loc_66_2,loc_78_1,loc_78_2,loc_c139_1,loc_c139_2,loc_c162_1,loc_c162_2,loc_c233_1,loc_c233_2,loc_c142_1,loc_c142_2
Ccaffra1p1A,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, 10 kms Port St Johns",JF-892,-31.6056,29.55,MT003346,Wogan et al. 2020,320,324,374,374,317,329,348,348,119,123,287,291,319,315,222,230,292,312,222,230,317,317,252,280,102,102,174,174
Ccaffra3p1G,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, 12 Levy Street, Aliwal North",BH-72833,-30.68333333,26.7,MT003468,Wogan et al. 2020,304,320,382,382,333,349,340,344,99,115,287,319,307,311,202,266,312,317,202,266,329,329,224,256,94,102,174,186
Ccaffra3p1H,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, 12 Levy Street, Aliwal North",BH-72838,-30.68333333,26.7,MT003467,Wogan et al. 2020,316,316,398,398,341,349,340,340,115,135,295,295,286,303,206,262,317,317,206,262,321,325,240,280,94,102,174,190
Ccaffra1p1B,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, 50 kms North of Bloemfontein, Kalkwal Farm",JF-1182,-28.8336,26.1881,na,Wogan et al. 2020,316,320,390,390,329,357,340,352,115,135,287,299,315,319,202,266,312,312,202,266,325,329,252,276,-9,-9,174,174
Ccaffra1p1C,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, 50 kms North of Bloemfontein, Kalkwal Farm",JF-1192,-28.8336,26.1881,MT003324,Wogan et al. 2020,316,320,382,382,341,361,340,344,99,119,295,328,303,363,202,258,312,317,202,258,325,329,256,256,94,102,174,190
Ccaffra2p12C,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, Ackermanskraal, Aliwal North",BH-72830,-30.66666667,26.61666667,MT003505,Wogan et al. 2020,304,320,370,386,317,353,340,352,115,127,283,295,286,315,238,270,312,337,238,270,333,333,252,252,106,106,178,178
Ccaffra2p12E,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, Ackermanskraal, Aliwal North",BH-72836,-30.7,26.7,MT003530,Wogan et al. 2020,320,320,362,362,321,373,340,348,91,119,271,299,295,307,210,210,317,317,210,210,317,321,252,252,98,98,174,174
Ccaffra3p1C,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, Ackermanskraal, Aliwal North",BH-72832,-30.65,26.53333333,MT003335,Wogan et al. 2020,316,336,386,390,341,341,340,344,123,127,287,327,311,311,250,266,292,322,250,266,325,329,280,280,-9,-9,178,178
Ccaffra3p1D,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, Ackermanskraal, Aliwal North",BH-72829,-30.66666667,26.61666667,MT003412,Wogan et al. 2020,320,324,390,390,345,349,320,340,91,135,287,315,303,323,186,230,302,312,186,230,321,321,268,268,98,98,170,174
Ccaffra3p4B,Cossypha caffra caffra,SouthAfrica_EasternCape,South Africa,"Eastern Cape, Ackermanskraal, Aliwal North",BE-55713,-30.67019,26.631,MT003512,Wogan et al. 2020,316,316,386,390,305,353,320,340,123,127,287,295,307,315,246,262,312,327,246,262,321,325,260,268,98,98,170,170
